标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
芙蓉区产权近地铁 满五唯一自住装修 业主诚心出售,东业上城嘉苑 ,汽车东站,86,8975,3室2厅,95.83,南 北,精装,低楼层(共24层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112830719.html
浏阳河风光带旁 晚报商圈 精致两房 上学方便 有钥匙,芙蓉苑 ,晚报,71.8,7738,2室1厅,92.79,南,其他,中楼层(共6层),2006年,板楼,https://cs.lianjia.com/ershoufang/104110504853.html
晚报商圈 浏阳河风光带 自住精装 拎包入住  诚心出售,东南明苑 ,晚报,128,10481,3室2厅,122.13,南 北,其他,中楼层(共6层),2007年,板楼,https://cs.lianjia.com/ershoufang/104111257628.html
小区带燕山 浏阳河风光带旁 户型周正 生活气息浓厚,芙蓉苑 ,晚报,88,7060,3室2厅,124.65,南 北,其他,高楼层(共6层) ,,板楼,https://cs.lianjia.com/ershoufang/104113375844.html
火车站商圈  凯通国际小两房 诚心出售 看中可谈,凯通国际城 ,火车站,55,9362,2室1厅,58.75,南,精装,中楼层(共32层),2013年,板楼,https://cs.lianjia.com/ershoufang/104113316592.html
品牌地产  自住精装带暖气  中间楼层保养良好,恒大江湾 ,汽车东站,86,10573,2室2厅,81.34,南,精装,中楼层(共32层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112413993.html
万科三期  几乎全新未入住   全套红木家装   看河景,万科金域蓝湾三期 ,晚报,198,15266,4室2厅,129.7,南 北,精装,高楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113020071.html
浏阳河边 新中式园林风格 双阳台 南北四房  一线河景,金茂建发观悦 ,汽车东站,217,15233,4室2厅,142.46,南 北,精装,中楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104113104923.html
湘雅附二 6 7号线地铁口 城市花园,城市花园 ,浏城桥,93.8,9311,3室2厅,100.75,南 北,其他,高楼层(共29层),2009年,塔楼,https://cs.lianjia.com/ershoufang/104109514683.html
浏阳河旁，精装修大三房，通透户型，双阳台，诚心出售,长房白沙湾 ,马王堆,192.8,14282,3室2厅,135,南 北,精装,低楼层(共24层),2015年,板楼,https://cs.lianjia.com/ershoufang/104109614018.html
双地铁口，南北通风，经典小三房,东玺门 ,马王堆,102,11964,3室2厅,85.26,南,精装,34层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104110179721.html
万家丽广场陶瓷建材市场  首付二十个W出头 随时看房,马王堆陶瓷建材新城 ,马王堆,86,6836,4室1厅,125.82,北,精装,高楼层(共5层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110111020.html
楼层采光好，次新小区，双地铁口，浏阳河旁,中惠锦堂 ,尚东,110,9759,3室2厅,112.72,南,简装,低楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104110188675.html
满五唯一 湘域中央 正地铁口袁家岭 育英 急售,湘域中央 ,火车站,106,13490,2室1厅,78.58,南,简装,中楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104108958226.html
6.7号线双地铁口  维一星城精装三房 拎包入住,维一星城 ,浏城桥,215,15274,3室2厅,140.77,东 南,其他,中楼层(共18层),2001年,板塔结合,https://cs.lianjia.com/ershoufang/104110501278.html
锦绣中星 温馨三房 南北通透 交通便利,锦绣中星 ,马王堆,84.6,6899,3室1厅,122.64,南 北,简装,高楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104111448706.html
地铁口精装四房 中间楼层视野佳 双阳台 诚心出售,保利麓谷林语E区 ,麓谷西,140,10499,4室2厅,133.35,南,简装,高楼层(共25层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113441286.html
清水毛坯正规两房采光充足户型周正,中建钰和城 ,新开铺,96,11496,2室1厅,83.51,南,毛坯,低楼层(共32层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113634704.html
奥克斯清水毛胚3房2卫，业主急卖，中间楼层，看房方便,奥克斯缔壹城 ,雷锋大道,108,10040,3室2厅,107.58,南 北,毛坯,中楼层(共32层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104110964989.html
好房推荐，地铁口家具家电齐全，诚心出售.随时看房,润和滨江府二期 ,金星北,117,11961,3室2厅,97.82,南,精装,中楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113590908.html
梅溪湖 地铁口小区 南北通透 四室 纯板楼 安静舒适,麓阳和景雅苑 ,汽车西站,130,9218,4室2厅,141.03,南 北,毛坯,中楼层(共19层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112002389.html
四房两卫，钥匙在店，随时看房，业主诚心出售,金富星澜之悦 ,金星北,85,6948,4室2厅,122.34,南,其他,高楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113163151.html
此房满五唯一，南北通格局，采光充足，配套设施齐全,江山帝景哈佛 ,含浦,116,10941,3室2厅,106.03,南,精装,中楼层(共26层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104112677340.html
房东诚心出售 好楼层 看房方便的！,木材厂宿舍 ,黄土岭,46,6848,2室2厅,67.18,南,简装,低楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113525900.html
套内使用面积大 大阳台 落地窗 免个税,鑫远悦城 ,省政府,110,10545,3室2厅,104.32,南,其他,低楼层(共16层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113079144.html
低楼层，满五唯一，有钥匙随时看房！,曙光妹子山社区 ,桂花村,37.8,5963,3室1厅,63.4,南,精装,低楼层(共6层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113149919.html
一期湖景2+1品质装修，定制衣柜品牌家具家电，保养好,时代倾城 ,金星北,73.8,8812,3室2厅,83.75,南,其他,中楼层(共33层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112828639.html
长房云时代 次新小区 环境优雅，楼栋好楼层好,长房云时代 ,雷锋大道,152,10183,4室2厅,149.27,南 北,毛坯,中楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113093050.html
精装三房 拎包入住 视野好 楼下有公园,中建嘉和城 ,万家丽南路,84.8,8779,3室2厅,96.6,东,简装,中楼层(共34层) ,,板楼,https://cs.lianjia.com/ershoufang/104113622791.html
读书产业地段物业四大法宝加持   。,万科里金域国际 ,滨江新城,255,19462,4室2厅,131.03,南,精装,高楼层(共44层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110923747.html
武广高品质小三房 花园式小区  小高层 居家精装！,明昇壹城 ,武广新城,148.8,15475,3室2厅,96.16,南,精装,中楼层(共18层),2018年,板楼,https://cs.lianjia.com/ershoufang/104113038922.html
2018年次新小区，靠山楼栋环境优美，满五唯一楼层好,长盛岚庭 ,新开铺,126,10229,3室2厅,123.18,南 北,毛坯,高楼层(共17层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104111885198.html
中间楼层  视野好 房东诚心  满五唯一无个税，,澳海澜庭 ,金星北,45,5700,2室2厅,78.96,南,毛坯,中楼层(共32层) ,,板楼,https://cs.lianjia.com/ershoufang/104110088964.html
蓝光雍景半岛 奶油风无主灯设计的家  业主诚心卖,蓝光雍锦半岛 ,岳麓其他,143,13279,3室2厅,107.69,南 北,其他,中楼层(共25层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104113508925.html
明厨明卫，动静分区，户型方正实用无浪费，户型采光好,湘熙水郡 ,洋湖垸,125,11167,3室2厅,111.94,南 北,其他,低楼层(共27层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104109636745.html
地铁口，视野好，业主诚心出售，总价低，次新小区,中海珑悦府 ,德思勤,33,5529,1室1厅,59.69,东南,毛坯,高楼层(共22层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104113525545.html
满五唯一 朝南三房 视野开阔无遮挡 清水毛坯,北辰三角洲C3区 ,北辰三角洲,150,13246,3室2厅,113.25,南,毛坯,低楼层(共55层) ,,板楼,https://cs.lianjia.com/ershoufang/104112762068.html
近地铁交通便利，楼层好，采光好,锦湘国际星城二期 ,尚东,90,8992,3室2厅,100.09,南,其他,高楼层(共18层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104112552551.html
市 中 心自住一房，满五唯一交通方便,伍家岭生活广场 ,四方坪,23.9,5787,1室0厅,41.3,南,精装,低楼层(共15层),2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113181258.html
自住装修 采光好可 拎包入住 随时看房,鑫天鑫城 ,赤岗冲,106,8116,3室2厅,130.62,南 北,简装,中楼层(共17层),2004年,板塔结合,https://cs.lianjia.com/ershoufang/104113387887.html
20年交房 南北对流4房 双阳台 望花园 仰天湖旁,北辰中央公园(慧辰园) ,省政府,129.8,10124,4室2厅,128.22,南 北,毛坯,低楼层(共16层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104111749237.html
鑫远品质，2016年次新，九成新精装修，满五唯一！,鑫远御文台1期 ,新开铺,76.8,9501,2室2厅,80.84,南,其他,中楼层(共29层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113051761.html
地铁口旁 时代倾城2期精装2房出售 价格美丽,时代倾城 ,金星北,68,7807,2室2厅,87.11,南,精装,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113406150.html
滨江次新小区 70年产权电梯 精装拎包入住1室 满五唯一,滨江一号 ,观沙岭,36.8,8777,1室1厅,41.93,南,精装,中楼层(共20层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104113742882.html
正东塘 双地铁口 正规四房 户型周正 价格可谈,福乐名园 ,左家塘,139,7827,4室2厅,177.61,南 北,精装,中楼层(共9层),2001年,板楼,https://cs.lianjia.com/ershoufang/104109753998.html
芙蓉区与望龙路交叉路口中交公园精装修看房提前约,中交中央公园 ,汽车东站,136,11720,3室2厅,116.05,东南,精装,低楼层(共28层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104107668200.html
靠小区内部，安静不吵，带大露台 实用性高,江河中央洋房 ,武广新城,276,17958,4室2厅,153.7,东南,毛坯,中楼层(共5层),2016年,板楼,https://cs.lianjia.com/ershoufang/104112954223.html
南北双阳台清水毛胚高品质三房两卫,明昇壹城 ,武广新城,218.8,16895,3室2厅,129.51,南,其他,低楼层(共47层),2018年,板楼,https://cs.lianjia.com/ershoufang/104111114239.html
宽阔视野清水毛胚高品质一房一卫,明昇壹城 ,武广新城,59,15470,1室1厅,38.14,北,毛坯,高楼层(共30层) ,,板楼,https://cs.lianjia.com/ershoufang/104112300970.html
嘉宇盛世华章 2室2厅 南,嘉宇盛世华章 ,武广新城,109,11825,2室2厅,92.18,南,其他,中楼层(共11层) ,,板楼,https://cs.lianjia.com/ershoufang/104113420245.html
户型周正 青园友谊 楼层好 采光好24小时安保,天天向上 ,铁道学院,75,10078,2室2厅,74.42,南 北,其他,低楼层(共31层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113073022.html
113平米复式结构，教育就在家门口,中天星耀城 ,武广新城,165,14497,4室2厅,113.82,南,毛坯,低楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113011402.html
位置优秀双地铁、万科物业、小户型,欧亚达国际广场 ,树木岭,24,8690,1室1厅,27.62,北,其他,低楼层(共28层),2016年,塔楼,https://cs.lianjia.com/ershoufang/104112249237.html
体育新城 单价七字头 买大五房 中间好楼层 沙湾公园旁,白沙湾嘉园 ,武广新城,142,7907,5室2厅,179.6,南 北,简装,高楼层(共27层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113103419.html
优质4房，诚意出售！满五唯一，户型周正,江河东澜湾 ,武广新城,160.7,12216,3室2厅,131.55,北,其他,低楼层(共31层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104110671865.html
主城区 4自头三房 诚心卖随时看房 而且生活成本低,长沙有色冶金设计院宿舍 ,韶山南路,38,4713,3室1厅,80.63,南,简装,高楼层(共5层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112342993.html
心悦里4房全新未入住  砂子塘+南雅双语 高楼层视野好,万科魅力之城 ,武广新城,170,14350,4室2厅,118.47,南,精装,35层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104111979792.html
户型周正采光很好可拎包入住配套齐全适合小户型的家人,华欣公寓 ,韶山南路,82.8,9271,3室1厅,89.32,南,其他,高楼层(共9层) ,,板楼,https://cs.lianjia.com/ershoufang/104112263689.html
中航城K区四期四房两厅两卫楼层好视野好不唯一,中航城 ,万家丽南路,156.8,9759,4室2厅,160.68,南,毛坯,中楼层(共32层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113029474.html
恒大绿洲 3室2厅 南,恒大绿洲 ,武广新城,160,13009,3室2厅,123,南,精装,高楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113056350.html
置换交易 小区青园雅礼 楼层好 户型周正  随时看房,丽发新城 ,跳马,101.8,7869,3室2厅,129.37,南,其他,高楼层(共24层) ,,板楼,https://cs.lianjia.com/ershoufang/104110392509.html
中航城四期的洋房，好楼栋，中间楼层采光好，人车分流,中航城 ,万家丽南路,215,14056,4室2厅,152.96,南 北,其他,中楼层(共8层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113007404.html
地铁口精装复式两居  楼下地铁口跟美食街 购物方便,金色LOFT ,树木岭,46.8,9893,2室1厅,47.31,南,精装,高楼层(共32层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104112379415.html
长房星城世家 低密度洋房小区 精装3房 拎包入住,星城世家 ,尚东,239.9,15848,3室2厅,151.38,南,其他,中楼层(共10层),2007年,板楼,https://cs.lianjia.com/ershoufang/104105705664.html
客厅挑空，一梯两户南北双阳台，户型结构好，中间位置,星城世家 ,尚东,416,16694,5室2厅,249.2,南 北,其他,高楼层(共9层),2007年,板楼,https://cs.lianjia.com/ershoufang/104110415798.html
地铁口，业主诚心卖 价格可谈 户型周正,森林公园壹号 ,汽车南站,92,9516,3室2厅,96.68,东南,其他,高楼层(共17层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104112458096.html
运达广场商圈保利mall商场2号线地铁教育配满五唯一,明大佳园 ,武广新城,108,14122,2室1厅,76.48,南,其他,低楼层(共27层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111770872.html
地铁口品质楼盘 美式装修 实木家具 拎包入住,融科紫檀 ,武广新城,212,14928,3室2厅,142.02,南,其他,33层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112211967.html
近地铁 位置安静 全南二房 诚心出售,星城映象 ,武广新城,86,10729,2室2厅,80.16,南,简装,中楼层(共18层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104111103444.html
正地铁口 恒大绿洲中间栋安静无噪音 满五唯一免个税,恒大绿洲 ,武广新城,154,11861,3室1厅,129.84,东 南,简装,低楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109552908.html
全新装修  家电齐全  地铁口复式两房,金色LOFT ,树木岭,54,11415,2室1厅,47.31,南,其他,低楼层(共32层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104108985270.html
精装修两房 南北通透 非顶楼 视野采光很好 近地铁口,湖南省水电设计院宿舍 ,东塘,99.5,14180,2室2厅,70.17,南 北,其他,高楼层(共7层),1998年,平房,https://cs.lianjia.com/ershoufang/104110405948.html
此房南北通透、户型方正、业主诚意出售、拎包入驻,湘府十城 ,汽车南站,112,11491,3室2厅,97.47,南 北,精装,中楼层(共18层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104109155568.html
湘府十城，板塘冲地铁站，不靠高架，业主诚心出售,湘府十城 ,汽车南站,138,11022,3室2厅,125.21,南,其他,中楼层(共18层),2014年,板楼,https://cs.lianjia.com/ershoufang/104108948725.html
联排中户别墅带花园带地下带天井室位置私密前后花园,佳兆业水岸新都西区 ,跳马,298,9501,5室1厅,313.66,南 北,其他,3层,2010年,板楼,https://cs.lianjia.com/ershoufang/104113034665.html
五矿万境水岸二期好房推荐，圭塘河边风光带。,五矿万境水岸二期 ,喜盈门,52.8,11927,1室1厅,44.27,南,简装,中楼层(共32层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104113103016.html
地铁口毛坯四房满五唯一举家移民低价出售,麓阳和景雅苑 ,汽车西站,135.5,9583,4室2厅,141.41,南,毛坯,中楼层(共20层),2016年,板楼,https://cs.lianjia.com/ershoufang/104112950593.html
拎包入住 自住两房 次新小区 高楼层 采光视野通风好,华侨假日中心 ,东方红,79.8,10100,2室2厅,79.01,南,精装,高楼层(共21层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111396608.html
